time_grain,time_period,event_type,user_title,user_segment,total_events,unique_users,unique_firms,total_documents_processed,avg_documents_per_event,avg_satisfaction_score,high_satisfaction_events,high_volume_events,satisfaction_rate_pct,high_volume_rate_pct,documents_per_user,events_per_user,week_over_week_growth_pct,satisfaction_performance,volume_performance
daily,2024-04-02,ASSISTANT,Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-02,ASSISTANT,Associate,Long-term User,29,21,10,80,2.7586206896551726,3.9655172413793105,22,2,75.86,6.9,3.81,1.38,,,
daily,2024-04-02,ASSISTANT,Junior Associate,Established User,7,6,4,39,5.571428571428571,3.4285714285714284,5,1,71.43,14.29,6.5,1.17,,,
daily,2024-04-02,ASSISTANT,Junior Associate,Long-term User,22,19,10,38,1.7272727272727273,3.9545454545454546,16,1,72.73,4.55,2.0,1.16,,,
daily,2024-04-02,ASSISTANT,Partner,Long-term User,5,2,2,5,1.0,4.4,5,0,100.0,0.0,2.5,2.5,,,
daily,2024-04-02,ASSISTANT,Senior Associate,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-02,ASSISTANT,Senior Associate,Long-term User,10,9,6,10,1.0,3.9,7,0,70.0,0.0,1.11,1.11,,,
daily,2024-04-02,VAULT,Associate,Established User,3,3,2,79,26.333333333333332,3.3333333333333335,2,2,66.67,66.67,26.33,1.0,,,
daily,2024-04-02,VAULT,Associate,Long-term User,30,21,11,619,20.633333333333333,3.8666666666666667,21,20,70.0,66.67,29.48,1.43,,,
daily,2024-04-02,VAULT,Junior Associate,Established User,3,3,3,37,12.333333333333334,3.6666666666666665,2,2,66.67,66.67,12.33,1.0,,,
daily,2024-04-02,VAULT,Junior Associate,Long-term User,15,13,11,384,25.6,4.533333333333333,14,12,93.33,80.0,29.54,1.15,,,
daily,2024-04-02,VAULT,Partner,Long-term User,1,1,1,8,8.0,3.0,0,0,0.0,0.0,8.0,1.0,,,
daily,2024-04-02,VAULT,Senior Associate,Established User,1,1,1,3,3.0,5.0,1,0,100.0,0.0,3.0,1.0,,,
daily,2024-04-02,VAULT,Senior Associate,Long-term User,6,6,4,91,15.166666666666666,4.833333333333333,6,4,100.0,66.67,15.17,1.0,,,
daily,2024-04-02,WORKFLOW,Associate,Established User,2,2,2,3,1.5,4.5,2,0,100.0,0.0,1.5,1.0,,,
daily,2024-04-02,WORKFLOW,Associate,Long-term User,9,7,5,9,1.0,4.0,7,0,77.78,0.0,1.29,1.29,,,
daily,2024-04-02,WORKFLOW,Junior Associate,Established User,3,2,2,14,4.666666666666667,4.333333333333333,3,0,100.0,0.0,7.0,1.5,,,
daily,2024-04-02,WORKFLOW,Junior Associate,Long-term User,10,10,6,12,1.2,4.0,8,0,80.0,0.0,1.2,1.0,,,
daily,2024-04-02,WORKFLOW,Partner,Established User,1,1,1,1,1.0,3.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-02,WORKFLOW,Partner,Long-term User,5,3,3,6,1.2,3.8,4,0,80.0,0.0,2.0,1.67,,,
daily,2024-04-02,WORKFLOW,Senior Associate,Established User,1,1,1,4,4.0,3.0,0,0,0.0,0.0,4.0,1.0,,,
daily,2024-04-02,WORKFLOW,Senior Associate,Long-term User,8,4,2,11,1.375,4.125,6,0,75.0,0.0,2.75,2.0,,,
daily,2024-04-03,ASSISTANT,Associate,Long-term User,30,25,13,35,1.1666666666666667,4.166666666666667,25,0,83.33,0.0,1.4,1.2,,,
daily,2024-04-03,ASSISTANT,Junior Associate,Established User,3,3,3,18,6.0,5.0,3,1,100.0,33.33,6.0,1.0,,,
daily,2024-04-03,ASSISTANT,Junior Associate,Long-term User,42,34,12,72,1.7142857142857142,4.023809523809524,37,1,88.1,2.38,2.12,1.24,,,
daily,2024-04-03,ASSISTANT,Partner,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-03,ASSISTANT,Partner,Long-term User,10,5,5,17,1.7,4.3,8,0,80.0,0.0,3.4,2.0,,,
daily,2024-04-03,ASSISTANT,Senior Associate,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-03,ASSISTANT,Senior Associate,Long-term User,5,4,4,10,2.0,3.8,3,0,60.0,0.0,2.5,1.25,,,
daily,2024-04-03,VAULT,Associate,Established User,5,5,4,94,18.8,4.0,5,3,100.0,60.0,18.8,1.0,,,
daily,2024-04-03,VAULT,Associate,Long-term User,16,14,7,332,20.75,4.5625,16,13,100.0,81.25,23.71,1.14,,,
daily,2024-04-03,VAULT,Junior Associate,Established User,10,7,4,195,19.5,4.0,7,6,70.0,60.0,27.86,1.43,,,
daily,2024-04-03,VAULT,Junior Associate,Long-term User,39,33,15,1092,28.0,3.8205128205128207,28,32,71.79,82.05,33.09,1.18,,,
daily,2024-04-03,VAULT,Partner,Long-term User,7,5,5,278,39.714285714285715,4.857142857142857,7,7,100.0,100.0,55.6,1.4,,,
daily,2024-04-03,VAULT,Senior Associate,Established User,6,2,2,126,21.0,4.0,4,4,66.67,66.67,63.0,3.0,,,
daily,2024-04-03,VAULT,Senior Associate,Long-term User,4,3,3,74,18.5,3.75,3,2,75.0,50.0,24.67,1.33,,,
daily,2024-04-03,WORKFLOW,Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-03,WORKFLOW,Associate,Long-term User,14,10,7,22,1.5714285714285714,4.428571428571429,13,0,92.86,0.0,2.2,1.4,,,
daily,2024-04-03,WORKFLOW,Junior Associate,Established User,5,3,2,7,1.4,4.2,4,0,80.0,0.0,2.33,1.67,,,
daily,2024-04-03,WORKFLOW,Junior Associate,Long-term User,32,25,13,52,1.625,4.125,25,1,78.12,3.12,2.08,1.28,,,
daily,2024-04-03,WORKFLOW,Partner,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-03,WORKFLOW,Partner,Long-term User,4,4,4,6,1.5,4.75,4,0,100.0,0.0,1.5,1.0,,,
daily,2024-04-03,WORKFLOW,Senior Associate,Established User,2,1,1,2,1.0,4.5,2,0,100.0,0.0,2.0,2.0,,,
daily,2024-04-03,WORKFLOW,Senior Associate,Long-term User,8,7,6,10,1.25,3.25,5,0,62.5,0.0,1.43,1.14,,,
daily,2024-04-04,ASSISTANT,Associate,Established User,5,5,4,9,1.8,4.6,5,0,100.0,0.0,1.8,1.0,,,
daily,2024-04-04,ASSISTANT,Associate,Long-term User,23,17,10,26,1.1304347826086956,4.0,17,0,73.91,0.0,1.53,1.35,,,
daily,2024-04-04,ASSISTANT,Junior Associate,Established User,8,5,4,64,8.0,4.0,7,2,87.5,25.0,12.8,1.6,,,
daily,2024-04-04,ASSISTANT,Junior Associate,Long-term User,51,32,16,79,1.5490196078431373,3.980392156862745,39,1,76.47,1.96,2.47,1.59,,,
daily,2024-04-04,ASSISTANT,Partner,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-04,ASSISTANT,Partner,Long-term User,13,7,5,20,1.5384615384615385,4.076923076923077,10,0,76.92,0.0,2.86,1.86,,,
daily,2024-04-04,ASSISTANT,Senior Associate,Established User,1,1,1,2,2.0,3.0,0,0,0.0,0.0,2.0,1.0,,,
daily,2024-04-04,ASSISTANT,Senior Associate,Long-term User,11,8,5,17,1.5454545454545454,3.8181818181818183,8,0,72.73,0.0,2.12,1.38,,,
daily,2024-04-04,VAULT,Associate,Established User,4,4,3,68,17.0,4.0,3,3,75.0,75.0,17.0,1.0,,,
daily,2024-04-04,VAULT,Associate,Long-term User,22,17,10,608,27.636363636363637,3.9545454545454546,17,19,77.27,86.36,35.76,1.29,,,
daily,2024-04-04,VAULT,Junior Associate,Established User,5,3,2,103,20.6,5.0,5,5,100.0,100.0,34.33,1.67,,,
daily,2024-04-04,VAULT,Junior Associate,Long-term User,30,21,13,701,23.366666666666667,3.8,21,23,70.0,76.67,33.38,1.43,,,
daily,2024-04-04,VAULT,Partner,Long-term User,5,2,2,169,33.8,4.8,5,4,100.0,80.0,84.5,2.5,,,
daily,2024-04-04,VAULT,Senior Associate,Established User,1,1,1,7,7.0,4.0,1,0,100.0,0.0,7.0,1.0,,,
daily,2024-04-04,VAULT,Senior Associate,Long-term User,9,9,7,156,17.333333333333332,3.888888888888889,6,7,66.67,77.78,17.33,1.0,,,
daily,2024-04-04,WORKFLOW,Associate,Established User,4,4,4,4,1.0,3.5,3,0,75.0,0.0,1.0,1.0,,,
daily,2024-04-04,WORKFLOW,Associate,Long-term User,19,17,7,38,2.0,3.8421052631578947,14,1,73.68,5.26,2.24,1.12,,,
daily,2024-04-04,WORKFLOW,Junior Associate,Established User,5,2,2,5,1.0,4.8,5,0,100.0,0.0,2.5,2.5,,,
daily,2024-04-04,WORKFLOW,Junior Associate,Long-term User,29,21,12,59,2.0344827586206895,3.9655172413793105,23,1,79.31,3.45,2.81,1.38,,,
daily,2024-04-04,WORKFLOW,Partner,Long-term User,5,3,2,5,1.0,4.2,4,0,80.0,0.0,1.67,1.67,,,
daily,2024-04-04,WORKFLOW,Senior Associate,Long-term User,8,8,7,22,2.75,4.75,8,1,100.0,12.5,2.75,1.0,,,
daily,2024-04-05,ASSISTANT,Associate,Established User,1,1,1,1,1.0,3.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-05,ASSISTANT,Associate,Long-term User,23,14,8,44,1.9130434782608696,3.9565217391304346,18,0,78.26,0.0,3.14,1.64,,,
daily,2024-04-05,ASSISTANT,Junior Associate,Established User,2,2,2,2,1.0,5.0,2,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-05,ASSISTANT,Junior Associate,Long-term User,25,19,10,42,1.68,4.16,19,0,76.0,0.0,2.21,1.32,,,
daily,2024-04-05,ASSISTANT,Partner,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-05,ASSISTANT,Partner,Long-term User,10,4,4,12,1.2,4.1,9,0,90.0,0.0,3.0,2.5,,,
daily,2024-04-05,ASSISTANT,Senior Associate,Established User,2,2,2,2,1.0,3.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-05,ASSISTANT,Senior Associate,Long-term User,16,12,8,18,1.125,4.25,15,0,93.75,0.0,1.5,1.33,,,
daily,2024-04-05,VAULT,Associate,Long-term User,17,10,9,442,26.0,4.294117647058823,15,13,88.24,76.47,44.2,1.7,,,
daily,2024-04-05,VAULT,Junior Associate,Long-term User,23,15,10,455,19.782608695652176,4.260869565217392,19,16,82.61,69.57,30.33,1.53,,,
daily,2024-04-05,VAULT,Partner,Long-term User,7,5,5,219,31.285714285714285,4.142857142857143,6,7,85.71,100.0,43.8,1.4,,,
daily,2024-04-05,VAULT,Senior Associate,Established User,1,1,1,22,22.0,5.0,1,1,100.0,100.0,22.0,1.0,,,
daily,2024-04-05,VAULT,Senior Associate,Long-term User,9,8,7,210,23.333333333333332,3.4444444444444446,4,9,44.44,100.0,26.25,1.12,,,
daily,2024-04-05,WORKFLOW,Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-05,WORKFLOW,Associate,Long-term User,17,13,9,33,1.9411764705882353,3.588235294117647,12,0,70.59,0.0,2.54,1.31,,,
daily,2024-04-05,WORKFLOW,Junior Associate,Long-term User,16,13,9,29,1.8125,4.1875,14,1,87.5,6.25,2.23,1.23,,,
daily,2024-04-05,WORKFLOW,Partner,Long-term User,7,4,4,34,4.857142857142857,4.714285714285714,7,2,100.0,28.57,8.5,1.75,,,
daily,2024-04-05,WORKFLOW,Senior Associate,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-05,WORKFLOW,Senior Associate,Long-term User,5,3,3,6,1.2,4.2,4,0,80.0,0.0,2.0,1.67,,,
daily,2024-04-06,ASSISTANT,Associate,Long-term User,2,2,2,6,3.0,4.5,2,0,100.0,0.0,3.0,1.0,,,
daily,2024-04-06,ASSISTANT,Junior Associate,Established User,1,1,1,3,3.0,3.0,0,0,0.0,0.0,3.0,1.0,,,
daily,2024-04-06,ASSISTANT,Junior Associate,Long-term User,17,8,7,28,1.6470588235294117,3.9411764705882355,11,0,64.71,0.0,3.5,2.12,,,
daily,2024-04-06,ASSISTANT,Partner,Long-term User,2,2,2,28,14.0,3.0,1,1,50.0,50.0,14.0,1.0,,,
daily,2024-04-06,ASSISTANT,Senior Associate,Long-term User,1,1,1,4,4.0,4.0,1,0,100.0,0.0,4.0,1.0,,,
daily,2024-04-06,VAULT,Associate,Long-term User,2,2,2,38,19.0,5.0,2,1,100.0,50.0,19.0,1.0,,,
daily,2024-04-06,VAULT,Junior Associate,Long-term User,5,5,4,63,12.6,3.6,3,3,60.0,60.0,12.6,1.0,,,
daily,2024-04-06,VAULT,Senior Associate,Long-term User,2,2,2,24,12.0,3.0,0,2,0.0,100.0,12.0,1.0,,,
daily,2024-04-06,WORKFLOW,Associate,Long-term User,1,1,1,1,1.0,2.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-06,WORKFLOW,Junior Associate,Long-term User,6,6,5,7,1.1666666666666667,4.166666666666667,5,0,83.33,0.0,1.17,1.0,,,
daily,2024-04-06,WORKFLOW,Senior Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-07,ASSISTANT,Associate,Long-term User,3,2,2,24,8.0,3.0,2,1,66.67,33.33,12.0,1.5,,,
daily,2024-04-07,ASSISTANT,Junior Associate,Long-term User,8,8,6,13,1.625,4.625,8,0,100.0,0.0,1.62,1.0,,,
daily,2024-04-07,ASSISTANT,Partner,Long-term User,2,1,1,2,1.0,4.0,1,0,50.0,0.0,2.0,2.0,,,
daily,2024-04-07,ASSISTANT,Senior Associate,Long-term User,7,3,3,10,1.4285714285714286,4.428571428571429,7,0,100.0,0.0,3.33,2.33,,,
daily,2024-04-07,VAULT,Associate,Long-term User,3,3,2,57,19.0,4.333333333333333,3,2,100.0,66.67,19.0,1.0,,,
daily,2024-04-07,VAULT,Junior Associate,Long-term User,3,3,3,59,19.666666666666668,3.3333333333333335,2,3,66.67,100.0,19.67,1.0,,,
daily,2024-04-07,VAULT,Partner,Long-term User,2,1,1,41,20.5,2.5,0,2,0.0,100.0,41.0,2.0,,,
daily,2024-04-07,VAULT,Senior Associate,Long-term User,8,5,3,105,13.125,4.0,6,5,75.0,62.5,21.0,1.6,,,
daily,2024-04-07,WORKFLOW,Associate,Long-term User,3,3,3,6,2.0,4.333333333333333,2,0,66.67,0.0,2.0,1.0,,,
daily,2024-04-07,WORKFLOW,Junior Associate,Long-term User,7,5,3,16,2.2857142857142856,4.285714285714286,6,0,85.71,0.0,3.2,1.4,,,
daily,2024-04-07,WORKFLOW,Partner,Long-term User,2,2,2,2,1.0,4.5,2,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-07,WORKFLOW,Senior Associate,Long-term User,4,3,3,25,6.25,4.25,3,1,75.0,25.0,8.33,1.33,,,
daily,2024-04-08,ASSISTANT,Associate,Long-term User,15,14,12,35,2.3333333333333335,4.2,12,1,80.0,6.67,2.5,1.07,,,
daily,2024-04-08,ASSISTANT,Junior Associate,Established User,2,2,1,2,1.0,4.0,1,0,50.0,0.0,1.0,1.0,,,
daily,2024-04-08,ASSISTANT,Junior Associate,Long-term User,40,32,16,73,1.825,4.05,30,1,75.0,2.5,2.28,1.25,,,
daily,2024-04-08,ASSISTANT,Partner,Long-term User,3,3,3,3,1.0,3.6666666666666665,2,0,66.67,0.0,1.0,1.0,,,
daily,2024-04-08,ASSISTANT,Senior Associate,Long-term User,16,14,9,20,1.25,3.9375,12,0,75.0,0.0,1.43,1.14,,,
daily,2024-04-08,VAULT,Associate,Long-term User,15,14,10,295,19.666666666666668,3.933333333333333,10,12,66.67,80.0,21.07,1.07,,,
daily,2024-04-08,VAULT,Junior Associate,Long-term User,24,22,13,556,23.166666666666668,4.208333333333333,21,17,87.5,70.83,25.27,1.09,,,
daily,2024-04-08,VAULT,Partner,Long-term User,6,4,3,102,17.0,4.333333333333333,5,5,83.33,83.33,25.5,1.5,,,
daily,2024-04-08,VAULT,Senior Associate,Long-term User,9,9,6,244,27.11111111111111,4.444444444444445,8,5,88.89,55.56,27.11,1.0,,,
daily,2024-04-08,WORKFLOW,Associate,Long-term User,11,10,9,14,1.2727272727272727,4.7272727272727275,11,0,100.0,0.0,1.4,1.1,,,
daily,2024-04-08,WORKFLOW,Junior Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-08,WORKFLOW,Junior Associate,Long-term User,18,18,12,27,1.5,4.055555555555555,15,0,83.33,0.0,1.5,1.0,,,
daily,2024-04-08,WORKFLOW,Partner,Long-term User,6,4,4,10,1.6666666666666667,4.333333333333333,5,0,83.33,0.0,2.5,1.5,,,
daily,2024-04-08,WORKFLOW,Senior Associate,Long-term User,6,6,5,23,3.8333333333333335,4.666666666666667,6,1,100.0,16.67,3.83,1.0,,,
daily,2024-04-09,ASSISTANT,Associate,Long-term User,31,22,12,53,1.7096774193548387,4.0,25,0,80.65,0.0,2.41,1.41,,,
daily,2024-04-09,ASSISTANT,Junior Associate,Long-term User,48,37,15,108,2.25,4.083333333333333,41,2,85.42,4.17,2.92,1.3,,,
daily,2024-04-09,ASSISTANT,Partner,Long-term User,12,8,8,18,1.5,4.25,10,0,83.33,0.0,2.25,1.5,,,
daily,2024-04-09,ASSISTANT,Senior Associate,Established User,3,2,2,3,1.0,4.0,3,0,100.0,0.0,1.5,1.5,,,
