user_id,user_title,user_created_date,firm_id,firm_size,arr_in_thousands,acquisition_month,first_activity_date,days_to_first_activity,total_events,active_days,avg_satisfaction_score,total_documents_processed,is_activated,is_quick_start,is_monthly_activated,firm_size_category,arr_category,activation_category,satisfaction_category
99824c09352ea6bf6f4c83ecc8e82b96,Associate,2023-08-06,1068,640,1000,2023-08,2024-04-12,250,11,10,4.181818181818182,24,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
659268ad56810b462b55e266e74efcff,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-05-24,292,6,4,3.8333333333333335,56,1,0,0,Enterprise,High Value,Delayed Activation,Fair Satisfaction
a6c47669369032a6a9127e0b071abaca,Senior Associate,2023-11-30,1022,160,250,2023-11,2024-04-22,144,21,9,4.142857142857143,243,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
d915f9bd040a242a8d99d2f45c8a2b61,Associate,2024-01-05,1106,60,100,2024-01,2024-04-24,110,12,8,3.9166666666666665,127,1,0,0,Small,Low Value,Delayed Activation,Fair Satisfaction
4d3576509bdaa9837c588365f494d50b,Associate,2023-08-05,101146,60,80,2023-08,2024-05-16,285,10,5,4.0,51,1,0,0,Small,Minimal Value,Delayed Activation,Good Satisfaction
a7fbe2bed76478ac7fbaf63d0db4002d,Junior Associate,2023-07-08,1068,640,1000,2023-07,2024-04-05,272,33,18,4.090909090909091,106,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
1ef6cd5e982abb2e4edc85d61065ba57,Junior Associate,2023-08-05,101146,60,80,2023-08,2024-05-16,285,14,8,4.0,96,1,0,0,Small,Minimal Value,Delayed Activation,Good Satisfaction
451c75226f8055eb9f08f26830ed389c,Senior Associate,2023-07-18,1068,640,1000,2023-07,2024-04-26,283,6,5,4.166666666666667,53,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
3464d8fac8b63b762d303d197e4003ac,Junior Associate,2023-11-28,1222,80,80,2023-11,2024-06-25,210,3,2,4.333333333333333,5,1,0,0,Small,Minimal Value,Delayed Activation,Good Satisfaction
e446ae65fa990d09753bedc60e066baf,Senior Associate,2023-08-05,1673,140,150,2023-08,2024-04-17,256,2,2,5.0,7,1,0,0,Medium,Low Value,Delayed Activation,High Satisfaction
80c35d327cff501029dd3d67ffada22a,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-23,322,2,2,5.0,2,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
f6284bcb39995ca6c3d3deb22070d698,Associate,2023-08-06,1068,640,1000,2023-08,2024-06-06,305,2,2,5.0,4,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
310f712edbc93bf5f39193381b032624,Senior Associate,2024-01-26,101149,220,165,2024-01,2024-06-21,147,4,3,4.25,6,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
c8b9860bf3be1c72dbfefa41cc8c1185,Associate,2023-08-06,1068,640,1000,2023-08,2024-06-05,304,4,3,4.75,4,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
