user_id,firm_id,user_title,month,query_count,active_days,total_documents_processed,avg_feedback_score,engagement_level
001f04ed53bd5bc8aeaf7c099f7308a5,1063,Associate,2024-05,12,4,97,4.25,Regular User
004c8681bd00ff1407736ab1549c24f6,1069,Associate,2024-05,2,2,28,3.5,Occasional User
004d2cd03ef8d602f1d6394c6b70b539,1063,Junior Associate,2024-05,1,1,1,5.0,Occasional User
0072941fee80e31dae2d79d92f1a0f6a,1037,Senior Associate,2024-05,1,1,8,3.0,Occasional User
008621d221d989bdf746ca77fb58a854,101169,Junior Associate,2024-05,1,1,1,5.0,Occasional User
00d194e9dc94e2d540a70854c9510507,1063,Junior Associate,2024-05,6,3,47,4.5,Regular User
00daf924b84ecd9afd6fbe47da0ee0a1,1065,Associate,2024-05,5,2,32,4.8,Occasional User
00eff198ec916bf4e2fc96572c621f6a,1080,Junior Associate,2024-05,1,1,1,5.0,Occasional User
0138bcab5eca616fd13ef7ad16b1b636,1037,Senior Associate,2024-05,11,8,73,4.09,Regular User
015fb7518496340686eae0d5562eeaa1,1668,Associate,2024-05,2,2,2,4.0,Occasional User
019b5bd90503290c4c729d3cf3d231d4,1076,Associate,2024-05,1,1,1,4.0,Occasional User
01b5b7082befc1220a27175e467802ce,1785,Partner,2024-05,2,2,64,3.5,Occasional User
02101b80613a834a9bb6f83ff8e27e85,1075,Junior Associate,2024-05,1,1,1,5.0,Occasional User
0291d66d38443f5280c0953fb03525d9,1668,Junior Associate,2024-05,18,11,125,3.94,Regular User
02af0c53b622a23f9d8b0ec936986195,1068,Junior Associate,2024-05,1,1,1,4.0,Occasional User
02d6cc303fb9ee8a521330080b45b19d,1222,Partner,2024-05,1,1,1,5.0,Occasional User
02ed9ca7d853d72ec4cd48332eb945c9,101141,Senior Associate,2024-05,3,1,3,4.67,Occasional User
0311c5ec3801458ebe98d6111295c1b7,1673,Junior Associate,2024-05,1,1,1,4.0,Occasional User
0356f4f2f44f86727ea2ee44b6183bfb,1080,Senior Associate,2024-05,2,1,28,3.0,Occasional User
035dc33a4e7362fa02d4d750d303b24c,1024,Associate,2024-05,4,3,50,4.0,Occasional User
037b5c698c30e06cd434497ddcc1f68c,1063,Associate,2024-05,1,1,8,3.0,Occasional User
037d2a41320908ff570519095bf3864d,1055,Junior Associate,2024-05,2,1,52,3.5,Occasional User
03be1de1e8c558c2315383dc23c3cb40,101146,Associate,2024-05,7,4,48,3.0,Regular User
03ccdf4ea9b85cc6f5328f412bb6f1d3,1055,Associate,2024-05,4,1,82,4.0,Occasional User
